year,month,day,time_of_day,week,rainfall
2019,1,1,Afternoon,00,0.0
2019,1,1,Evening,00,0.0
2019,1,1,Morning,00,0.25
2019,1,1,Night,00,29.810000000000002
2019,1,2,Afternoon,00,0.0
2019,1,2,Evening,00,1.75
2019,1,2,Morning,00,0.0
2019,1,2,Night,00,0.0
2019,1,3,Afternoon,00,34.89
2019,1,3,Evening,00,0.75
2019,1,3,Morning,00,10.0
2019,1,3,Night,00,3.25
2019,1,4,Afternoon,00,0.25
2019,1,4,Evening,00,0.25
2019,1,4,Morning,00,13.27
2019,1,4,Night,00,0.0
2019,1,5,Afternoon,00,0.0
2019,1,5,Evening,00,0.0
2019,1,5,Morning,00,0.0
2019,1,5,Night,00,0.0
2019,1,6,Afternoon,00,0.0
2019,1,6,Evening,00,0.0
2019,1,6,Morning,00,2.25
2019,1,6,Night,00,2.75
2019,1,7,Afternoon,01,0.0
2019,1,7,Evening,01,90.92000000000002
2019,1,7,Morning,01,0.0
2019,1,7,Night,01,0.0
2019,1,8,Afternoon,01,55.23
2019,1,8,Evening,01,53.51
2019,1,8,Morning,01,0.25
2019,1,8,Night,01,8.51
2019,1,9,Afternoon,01,5.29
2019,1,9,Evening,01,0.0
2019,1,9,Morning,01,8.36
2019,1,9,Night,01,12.75
2019,1,10,Afternoon,01,0.0
2019,1,10,Evening,01,0.0
2019,1,10,Morning,01,0.0
2019,1,10,Night,01,0.0
2019,1,11,Afternoon,01,0.0
2019,1,11,Evening,01,0.0
2019,1,11,Morning,01,0.0
2019,1,11,Night,01,0.0
2019,1,12,Afternoon,01,0.0
2019,1,12,Evening,01,0.0
2019,1,12,Morning,01,0.0
2019,1,12,Night,01,0.0
2019,1,13,Afternoon,01,0.0
2019,1,13,Evening,01,0.0
2019,1,13,Morning,01,0.0
2019,1,13,Night,01,0.0
2019,1,14,Afternoon,02,0.0
2019,1,14,Evening,02,0.0
2019,1,14,Morning,02,0.0
2019,1,14,Night,02,0.0
2019,1,15,Afternoon,02,0.0
2019,1,15,Evening,02,0.0
2019,1,15,Morning,02,0.0
2019,1,15,Night,02,0.0
2019,1,16,Afternoon,02,0.0
2019,1,16,Evening,02,0.0
2019,1,16,Morning,02,1.25
2019,1,16,Night,02,0.0
2019,1,17,Afternoon,02,0.0
2019,1,17,Evening,02,0.0
2019,1,17,Morning,02,0.0
2019,1,17,Night,02,0.0
2019,1,18,Afternoon,02,0.25
2019,1,18,Evening,02,0.0
2019,1,18,Morning,02,28.830000000000002
2019,1,18,Night,02,0.25
2019,1,19,Afternoon,02,0.0
2019,1,19,Evening,02,0.5
2019,1,19,Morning,02,0.0
2019,1,19,Night,02,0.0
2019,1,20,Afternoon,02,0.0
2019,1,20,Evening,02,0.0
2019,1,20,Morning,02,0.0
2019,1,20,Night,02,1.5
2019,1,21,Afternoon,03,0.0
2019,1,21,Evening,03,0.0
2019,1,21,Morning,03,0.0
2019,1,21,Night,03,0.0
2019,1,22,Afternoon,03,0.0
2019,1,22,Evening,03,0.0
2019,1,22,Morning,03,0.0
2019,1,22,Night,03,0.0
2019,1,23,Afternoon,03,187.00999999999996
2019,1,23,Evening,03,20.75
2019,1,23,Morning,03,195.1099999999997
2019,1,23,Night,03,8.780000000000001
2019,1,24,Afternoon,03,17.59
2019,1,24,Evening,03,0.0
2019,1,24,Morning,03,3.75
2019,1,24,Night,03,50.25
2019,1,25,Afternoon,03,0.0
2019,1,25,Evening,03,0.0
2019,1,25,Morning,03,0.5
2019,1,25,Night,03,0.0
2019,1,26,Afternoon,03,0.0
2019,1,26,Evening,03,0.0
2019,1,26,Morning,03,0.0
2019,1,26,Night,03,0.0
2019,1,27,Afternoon,03,1.25
2019,1,27,Evening,03,0.0
2019,1,27,Morning,03,1.51
2019,1,27,Night,03,16.27
2019,1,28,Afternoon,04,7.75
2019,1,28,Evening,04,28.5
2019,1,28,Morning,04,0.0
2019,1,28,Night,04,0.5
2019,1,29,Afternoon,04,19.669999999999995
2019,1,29,Evening,04,0.25
2019,1,29,Morning,04,2.76
2019,1,29,Night,04,12.76
2019,1,30,Afternoon,04,0.5
2019,1,30,Evening,04,0.0
2019,1,30,Morning,04,0.0
2019,1,30,Night,04,0.0
2019,1,31,Afternoon,04,0.0
2019,1,31,Evening,04,0.0
2019,1,31,Morning,04,0.0
2019,1,31,Night,04,0.0
2019,2,1,Afternoon,04,4.75
2019,2,1,Evening,04,0.0
2019,2,1,Morning,04,0.25
2019,2,1,Night,04,0.25
2019,2,2,Afternoon,04,1.75
2019,2,2,Evening,04,1.5
2019,2,2,Morning,04,0.0
2019,2,2,Night,04,0.25
2019,2,3,Afternoon,04,0.75
2019,2,3,Evening,04,0.0
2019,2,3,Morning,04,13.819999999999999
2019,2,3,Night,04,5.01
2019,2,4,Afternoon,05,0.5
2019,2,4,Evening,05,96.74000000000002
