year,month,day,time_of_day,week,rainfall
2020,2,5,Afternoon,05,0.0
2020,2,5,Evening,05,1.7929999999999995
2020,2,5,Morning,05,42.999
2020,2,5,Night,05,0.0
2020,2,6,Afternoon,05,1.188000001999999
2020,2,6,Evening,05,163.82300002999963
2020,2,6,Morning,05,81.77500001600067
2020,2,6,Night,05,98.41850007800123
2020,2,7,Afternoon,05,3.9169999899999963
2020,2,7,Evening,05,0.276
2020,2,7,Morning,05,19.718000016000037
2020,2,7,Night,05,48.73200006300028
2020,2,8,Afternoon,05,0.6190000020000003
2020,2,8,Evening,05,0.10400000000000004
2020,2,8,Morning,05,0.20600000000000002
2020,2,8,Night,05,0.031
2020,2,9,Afternoon,05,1.5020000039999923
2020,2,9,Evening,05,201.37500017100032
2020,2,9,Morning,05,13.581000030999963
2020,2,9,Night,05,0.043000000000000003
2020,2,10,Afternoon,06,0.0
2020,2,10,Evening,06,0.14100000000000007
2020,2,10,Morning,06,1.6690000019999762
2020,2,10,Night,06,142.4260001500013
2020,2,11,Afternoon,06,0.0
2020,2,11,Evening,06,0.0
2020,2,11,Morning,06,0.0
2020,2,11,Night,06,0.046000000000000034
2020,2,12,Afternoon,06,0.0
2020,2,12,Evening,06,0.05800000000000001
2020,2,12,Morning,06,0.0
2020,2,12,Night,06,0.0
2020,2,13,Afternoon,06,15.705000013999978
2020,2,13,Evening,06,0.4670000010000003
2020,2,13,Morning,06,31.52100006800002
2020,2,13,Night,06,73.0820001070007
2020,2,14,Afternoon,06,0.3370000010000001
2020,2,14,Evening,06,0.07300000000000001
2020,2,14,Morning,06,0.18500000000000008
2020,2,14,Night,06,0.8750000070000005
2020,2,15,Afternoon,06,0.0
2020,2,15,Evening,06,2.2090000059999926
2020,2,15,Morning,06,0.0
2020,2,15,Night,06,0.0
2020,2,16,Afternoon,06,0.0
2020,2,16,Evening,06,0.15100000000000002
2020,2,16,Morning,06,0.0
2020,2,16,Night,06,0.11300000000000004
2020,2,17,Afternoon,07,0.054
2020,2,17,Evening,07,0.04500000000000001
2020,2,17,Morning,07,0.07
2020,2,17,Night,07,0.009000000000000001
2020,2,18,Afternoon,07,1.1770000019999993
2020,2,18,Evening,07,0.0
2020,2,18,Morning,07,77.95400004000052
2020,2,18,Night,07,330.2529999610004
2020,2,19,Afternoon,07,0.0
2020,2,19,Evening,07,0.0
2020,2,19,Morning,07,0.0
2020,2,19,Night,07,0.0
2020,2,20,Afternoon,07,0.07700000000000001
2020,2,20,Evening,07,0.28200000100000017
2020,2,20,Morning,07,0.0
2020,2,20,Night,07,0.0
2020,2,21,Afternoon,07,0.0
2020,2,21,Evening,07,0.0
2020,2,21,Morning,07,0.0
2020,2,21,Night,07,0.014000000000000002
2020,2,22,Afternoon,07,0.0
2020,2,22,Evening,07,0.0
2020,2,22,Morning,07,0.0
2020,2,22,Night,07,0.0
2020,2,23,Afternoon,07,0.0
2020,2,23,Evening,07,0.0
2020,2,23,Morning,07,0.0
2020,2,23,Night,07,0.0
2020,2,24,Afternoon,08,0.0
2020,2,24,Evening,08,0.0
2020,2,24,Morning,08,0.12700000000000003
2020,2,24,Night,08,0.07500000000000001
2020,2,25,Afternoon,08,0.4260000000000003
2020,2,25,Evening,08,0.0
2020,2,25,Morning,08,49.11200002900008
2020,2,25,Night,08,26.061000020999973
2020,2,26,Afternoon,08,112.6600001620008
2020,2,26,Evening,08,289.1519999700001
2020,2,26,Morning,08,116.76500020200085
2020,2,26,Night,08,4.813999990999999
2020,2,27,Afternoon,08,2.414000011
2020,2,27,Evening,08,0.0
2020,2,27,Morning,08,17.616999999
2020,2,27,Night,08,151.59500005200067
2020,2,28,Afternoon,08,0.0
2020,2,28,Evening,08,59.68900002399999
2020,2,28,Morning,08,0.0
2020,2,28,Night,08,0.11800000000000001
2020,2,29,Afternoon,08,0.0
2020,2,29,Evening,08,0.24300000100000016
2020,2,29,Morning,08,0.24500000000000008
2020,2,29,Night,08,1.3040000079999972
2020,3,1,Afternoon,08,0.0
2020,3,1,Evening,08,0.04700000000000001
2020,3,1,Morning,08,0.0
2020,3,1,Night,08,0.04900000100000001
2020,3,2,Afternoon,09,99.08000007500027
2020,3,2,Evening,09,0.11300000000000006
2020,3,2,Morning,09,34.512999998000055
2020,3,2,Night,09,1.8450000029999996
2020,3,3,Afternoon,09,504.7240000639971
2020,3,3,Evening,09,1.8700000019999938
2020,3,3,Morning,09,10.882000003999998
2020,3,3,Night,09,1.206000001
2020,3,4,Afternoon,09,1.148000001
2020,3,4,Evening,09,0.0
2020,3,4,Morning,09,0.0
2020,3,4,Night,09,0.0
2020,3,5,Afternoon,09,0.064
2020,3,5,Evening,09,0.44200000400000017
2020,3,5,Morning,09,0.0
2020,3,5,Night,09,0.009000001
2020,3,6,Afternoon,09,31.88900001400003
2020,3,6,Evening,09,0.0
2020,3,6,Morning,09,44.28900005199999
2020,3,6,Night,09,2.3749999999999996
2020,3,7,Afternoon,09,0.034
2020,3,7,Evening,09,0.3500000020000001
2020,3,7,Morning,09,0.0
2020,3,7,Night,09,0.0
2020,3,8,Afternoon,09,0.0
2020,3,8,Evening,09,0.05200000000000002
2020,3,8,Morning,09,0.0
2020,3,8,Night,09,0.0
2020,3,9,Afternoon,10,0.0
2020,3,9,Evening,10,1.833000007999998
2020,3,9,Morning,10,0.0
2020,3,9,Night,10,0.0
2020,3,10,Afternoon,10,0.0
2020,3,10,Evening,10,0.0
2020,3,10,Morning,10,149.49700004300007
2020,3,10,Night,10,53.243000031000165
2020,3,11,Afternoon,10,0.0
2020,3,11,Evening,10,0.0
2020,3,11,Morning,10,0.003
2020,3,11,Night,10,0.30700000200000016
2020,3,12,Afternoon,10,0.0
2020,3,12,Evening,10,4.289000000999995
